Mxenes,deltaG_H
TiScCCl2-1,2.3592204
TiScCCl2-2,2.3111404
TiScCCl2-3,2.3246917
TiScCO2-1,-1.0216308
TiScCO2-2,2.1905917
TiScCO2-3,2.3972503
TiScCS2-1,-0.43554517
TiScCS2-2,0.40672643
TiScCS2-3,0.56330343
TiScCX-1,-1.4785982
TiScCX-2,0.03336683
TiScCX-3,-1.05267117
TiTiCCl2-1,2.1264036
TiTiCCl2-2,2.309941
TiTiCCl2-3,2.3215773
TiTiCO2-1,0.4748506
TiTiCO2-2,2.5590034
TiTiCO2-3,2.3359417
TiTiCS2-1,-0.20259915
TiTiCS2-2,0.66288545
TiTiCS2-3,0.83926535
TiTiCX-1,-1.2901448
TiTiCX-2,0.0862272
TiTiCX-3,-0.9074961
TiVNCl2-1,2.119563
TiVNCl2-2,2.3362245
TiVNCl2-3,2.3147198
TiVNO2-1,0.5958364
TiVNO2-2,1.2719174
TiVNO2-3,2.3315046
TiVNS2-1,-1.66771122
TiVNS2-2,-0.82387412
TiVNS2-3,0.18640088
TiVNX-1,-1.4790675
TiVNX-2,-0.2609777
TiVNX-3,-1.1970652
TiYCF2-1,2.5673996
TiYCF2-2,2.2133459
TiYCF2-3,2.290515
TiYNF2-1,2.3318834
TiYNF2-2,1.4157752
TiYNF2-3,2.287242
TiZrCF2-1,2.317931
TiZrCF2-2,2.3372758
TiZrCF2-3,2.2803682
VCrCF2-1,2.3810935
VCrCF2-2,2.161695
VCrCF2-3,2.2634299
VHfBCl2-1,1.6987928
VHfBCl2-2,2.3210465
VHfBCl2-3,2.3001316
VHfBO2-1,-0.2058947
VHfBO2-2,1.6767801
VHfBO2-3,2.1239677
VHfBS2-1,-0.14761358
VHfBS2-2,0.71184192
VHfBS2-3,1.28928862
VHfBX-1,-1.0946783
VHfBX-2,-0.0401504
VHfBX-3,-0.8649715
VMnCCl2-1,1.7941799
VMnCCl2-2,2.3133176
VMnCCl2-3,2.3173806
VMnCF2-1,1.2505766
VMnCF2-2,2.1049294
VMnCF2-3,2.2456313
VMnCO2-1,-1.2677909
VMnCO2-2,-0.4622673
VMnCO2-3,2.0434861
VMnCS2-1,-0.29403794
VMnCS2-2,0.30041636
VMnCS2-3,0.91098736
VMnCX-1,-1.2094553
VMnCX-2,-0.1769824
VMnCX-3,-0.9149262
VMoCCl2-1,1.7092497
VMoCCl2-2,2.2856296
VMoCCl2-3,2.2954092
VMoCO2-1,-1.3692035
VMoCO2-2,1.2935912
VMoCO2-3,-0.1072327
VMoCS2-1,-0.56579247
VMoCS2-2,0.29645053
VMoCS2-3,0.52561983
VMoCX-1,-1.416799
VMoCX-2,-0.5553863
VMoCX-3,-1.2940386
VNbBF2-1,1.1883325
VNbBF2-2,2.2040685
VNbBF2-3,2.3005655
VScBCl2-1,1.5153918
